"File","trialType","Sequence","trialNum","CV"
"Dog_1","interictal",1,"1",1
"Dog_1","interictal",1,"2",1
"Dog_1","interictal",1,"3",1
"Dog_1","interictal",1,"4",1
"Dog_1","interictal",1,"5",1
"Dog_1","interictal",1,"6",1
"Dog_1","interictal",2,"7",2
"Dog_1","interictal",2,"8",2
"Dog_1","interictal",2,"9",2
"Dog_1","interictal",2,"10",2
"Dog_1","interictal",2,"11",2
"Dog_1","interictal",2,"12",2
"Dog_1","interictal",3,"13",3
"Dog_1","interictal",3,"14",3
"Dog_1","interictal",3,"15",3
"Dog_1","interictal",3,"16",3
"Dog_1","interictal",3,"17",3
"Dog_1","interictal",3,"18",3
"Dog_1","interictal",4,"19",4
"Dog_1","interictal",4,"20",4
"Dog_1","interictal",4,"21",4
"Dog_1","interictal",4,"22",4
"Dog_1","interictal",4,"23",4
"Dog_1","interictal",4,"24",4
"Dog_1","interictal",5,"25",1
"Dog_1","interictal",5,"26",1
"Dog_1","interictal",5,"27",1
"Dog_1","interictal",5,"28",1
"Dog_1","interictal",5,"29",1
"Dog_1","interictal",5,"30",1
"Dog_1","interictal",6,"31",2
"Dog_1","interictal",6,"32",2
"Dog_1","interictal",6,"33",2
"Dog_1","interictal",6,"34",2
"Dog_1","interictal",6,"35",2
"Dog_1","interictal",6,"36",2
"Dog_1","interictal",7,"37",3
"Dog_1","interictal",7,"38",3
"Dog_1","interictal",7,"39",3
"Dog_1","interictal",7,"40",3
"Dog_1","interictal",7,"41",3
"Dog_1","interictal",7,"42",3
"Dog_1","interictal",8,"43",4
"Dog_1","interictal",8,"44",4
"Dog_1","interictal",8,"45",4
"Dog_1","interictal",8,"46",4
"Dog_1","interictal",8,"47",4
"Dog_1","interictal",8,"48",4
"Dog_1","interictal",9,"49",1
"Dog_1","interictal",9,"50",1
"Dog_1","interictal",9,"51",1
"Dog_1","interictal",9,"52",1
"Dog_1","interictal",9,"53",1
"Dog_1","interictal",9,"54",1
"Dog_1","interictal",10,"55",2
"Dog_1","interictal",10,"56",2
"Dog_1","interictal",10,"57",2
"Dog_1","interictal",10,"58",2
"Dog_1","interictal",10,"59",2
"Dog_1","interictal",10,"60",2
"Dog_1","interictal",11,"61",3
"Dog_1","interictal",11,"62",3
"Dog_1","interictal",11,"63",3
"Dog_1","interictal",11,"64",3
"Dog_1","interictal",11,"65",3
"Dog_1","interictal",11,"66",3
"Dog_1","interictal",12,"67",4
"Dog_1","interictal",12,"68",4
"Dog_1","interictal",12,"69",4
"Dog_1","interictal",12,"70",4
"Dog_1","interictal",12,"71",4
"Dog_1","interictal",12,"72",4
"Dog_1","interictal",13,"73",1
"Dog_1","interictal",13,"74",1
"Dog_1","interictal",13,"75",1
"Dog_1","interictal",13,"76",1
"Dog_1","interictal",13,"77",1
"Dog_1","interictal",13,"78",1
"Dog_1","interictal",14,"79",2
"Dog_1","interictal",14,"80",2
"Dog_1","interictal",14,"81",2
"Dog_1","interictal",14,"82",2
"Dog_1","interictal",14,"83",2
"Dog_1","interictal",14,"84",2
"Dog_1","interictal",15,"85",3
"Dog_1","interictal",15,"86",3
"Dog_1","interictal",15,"87",3
"Dog_1","interictal",15,"88",3
"Dog_1","interictal",15,"89",3
"Dog_1","interictal",15,"90",3
"Dog_1","interictal",16,"91",4
"Dog_1","interictal",16,"92",4
"Dog_1","interictal",16,"93",4
"Dog_1","interictal",16,"94",4
"Dog_1","interictal",16,"95",4
"Dog_1","interictal",16,"96",4
"Dog_1","interictal",17,"97",1
"Dog_1","interictal",17,"98",1
"Dog_1","interictal",17,"99",1
"Dog_1","interictal",17,"100",1
"Dog_1","interictal",17,"101",1
"Dog_1","interictal",17,"102",1
"Dog_1","interictal",18,"103",2
"Dog_1","interictal",18,"104",2
"Dog_1","interictal",18,"105",2
"Dog_1","interictal",18,"106",2
"Dog_1","interictal",18,"107",2
"Dog_1","interictal",18,"108",2
"Dog_1","interictal",19,"109",3
"Dog_1","interictal",19,"110",3
"Dog_1","interictal",19,"111",3
"Dog_1","interictal",19,"112",3
"Dog_1","interictal",19,"113",3
"Dog_1","interictal",19,"114",3
"Dog_1","interictal",20,"115",4
"Dog_1","interictal",20,"116",4
"Dog_1","interictal",20,"117",4
"Dog_1","interictal",20,"118",4
"Dog_1","interictal",20,"119",4
"Dog_1","interictal",20,"120",4
"Dog_1","interictal",21,"121",1
"Dog_1","interictal",21,"122",1
"Dog_1","interictal",21,"123",1
"Dog_1","interictal",21,"124",1
"Dog_1","interictal",21,"125",1
"Dog_1","interictal",21,"126",1
"Dog_1","interictal",22,"127",2
"Dog_1","interictal",22,"128",2
"Dog_1","interictal",22,"129",2
"Dog_1","interictal",22,"130",2
"Dog_1","interictal",22,"131",2
"Dog_1","interictal",22,"132",2
"Dog_1","interictal",23,"133",3
"Dog_1","interictal",23,"134",3
"Dog_1","interictal",23,"135",3
"Dog_1","interictal",23,"136",3
"Dog_1","interictal",23,"137",3
"Dog_1","interictal",23,"138",3
"Dog_1","interictal",24,"139",4
"Dog_1","interictal",24,"140",4
"Dog_1","interictal",24,"141",4
"Dog_1","interictal",24,"142",4
"Dog_1","interictal",24,"143",4
"Dog_1","interictal",24,"144",4
"Dog_1","interictal",25,"145",1
"Dog_1","interictal",25,"146",1
"Dog_1","interictal",25,"147",1
"Dog_1","interictal",25,"148",1
"Dog_1","interictal",25,"149",1
"Dog_1","interictal",25,"150",1
"Dog_1","interictal",26,"151",2
"Dog_1","interictal",26,"152",2
"Dog_1","interictal",26,"153",2
